发布日期,发布部门,通知标题,通知链接,附件名,附件链接,下载次数
2021-12-10,【教材中心】,关于开展26种马工程重点教材任课教师培训的通知,https://jwch.fzu.edu.cn/info/1042/11731.htm,附件2：26种马工程重点教材具体培训安排.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693726,1106
2021-12-10,【教材中心】,关于开展26种马工程重点教材任课教师培训的通知,https://jwch.fzu.edu.cn/info/1042/11731.htm,附件3：26种马工程重点教材任课教师参训汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693724,1117
2021-12-10,【教材中心】,关于开展26种马工程重点教材任课教师培训的通知,https://jwch.fzu.edu.cn/info/1042/11731.htm,附件4：26种中宣部组织修订的马工程重点教材对应课程.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693725,1389
2021-12-08,【质量办】,关于开展福州大学2021年教师教学创新大赛的通知,https://jwch.fzu.edu.cn/info/1040/11728.htm,附件.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7692981,1563
2021-12-08,【实践科】,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/info/1039/11725.htm,省级以上项目结题附件下载.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693973,1034
2021-12-08,【实践科】,关于做好第二十六期、二十七期本科生科研训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/info/1039/11724.htm,srtp项目结题附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693974,1370
2021-12-08,【实践科】,关于做好2021年省级以上大学生创新创业训练计划项目和第二十七期本科生科研训练计划项目中期检查工作的通知,https://jwch.fzu.edu.cn/info/1039/11723.htm,无附件,无附件链接,无下载次数
2021-12-08,【实践科】,关于公布第十三届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,https://jwch.fzu.edu.cn/info/1039/11722.htm,无附件,无附件链接,无下载次数
2021-12-03,【质量办】,关于举办福州大学第三十一场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/11711.htm,无附件,无附件链接,无下载次数
2021-11-30,【教材中心】,关于做好2021-2022学年第二学期教材选用及征订工作的通知,https://jwch.fzu.edu.cn/info/1042/11687.htm,附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7690134,1193
2021-11-30,【教材中心】,关于做好2021-2022学年第二学期教材选用及征订工作的通知,https://jwch.fzu.edu.cn/info/1042/11687.htm,附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7690135,1095
2021-11-30,【教材中心】,关于做好2021-2022学年第二学期教材选用及征订工作的通知,https://jwch.fzu.edu.cn/info/1042/11687.htm,附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2021年10月，共计110种）(2).xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7690136,1195
2021-11-30,【教材中心】,关于做好2021-2022学年第二学期教材选用及征订工作的通知,https://jwch.fzu.edu.cn/info/1042/11687.htm,附件4：全国大中专教学用书目录(2022春).xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7690137,1327
2021-11-29,【计划科】,关于2021-2022学年第二学期修读辅修专业学生名单的公示,https://jwch.fzu.edu.cn/info/1038/11685.htm,无附件,无附件链接,无下载次数
2021-11-29,【综合科】,关于2021-2022学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,https://jwch.fzu.edu.cn/info/1035/11684.htm,无附件,无附件链接,无下载次数
2021-11-23,【教学运行】,关于2021-2022学年第一学期《高等数学A（下）》课期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11671.htm,2101高数A下期末考 12.5.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7687289,950
2021-11-23,【教学运行】,关于2021-2022学年第一学期《工程制图E》、《画法几何》课期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11670.htm,2101 制图E、画法几何期末考试 12.11.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7687286,1001
2021-11-22,【质量办】,关于举办福州大学第三十场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/11665.htm,无附件,无附件链接,无下载次数
2021-11-22,【教学运行】,关于做好2022届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn/info/1036/11664.htm,无附件,无附件链接,无下载次数
