通知人,附件名,下载次数
实践科,附件1：福州大学第十届桥梁设计大赛报名表20231126.doc,829
实践科,附件2：福州大学第十届桥梁设计大赛-竞赛细则20231126.doc,879
实践科,附件3：福州大学第十届桥梁设计大赛-桥址信息20231126.docx,947
教研教改,附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc,944
教研教改,附件1：教育部办公厅关于开展第三批国家级 一流本科课程认定工作的通知（教高厅函〔2023〕24 号）.pdf,803
教研教改,附件3：第三批国家级一流本科课程申报说明.pdf,1993
教研教改,附件4：社会实践课程申报书（第三批）.docx,747
教研教改,附件4：课程数据信息表（线上课程申报书附件）.docx,898
教研教改,附件4：线上课程申报书（第三批）.docx,1066
教研教改,附件4：线下课程申报书（第三批）.docx,862
教研教改,附件4：虚拟仿真实验教学课程申报书（第三批）.docx,1050
教研教改,附件4；线上线下混合式课程申报书（第三批）.docx,876
教材中心,教育部办公厅关于印发《“十四五”普通高等教育本科国家级规划教材建设实施方案》的通知.pdf,952
教学运行,2301 马克思主义基本原理期末随堂考.xlsx,968
教学运行,2301 毛概论期末随堂考.xlsx,1021
实践科,附件：2024届福州大学本科生毕业设计（论文）有关表格.zip,4273
实践科,附件：福州大学大学生校外实践教学基地抽查评审一览表.xlsx,1333
教学运行,2301概率期末考12.17上午.xlsx,922
教学运行,2301大物B（下）期末考12.17下午.xlsx,970
教材中心,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2023年09月，共计116种）.xlsx,1001
教材中心,附件2：全国大中专教学用书目录(2024春).xlsx,1038
实践科,附件1.docx,2274
实践科,附件1.团队高校指导老师承诺书.doc,923
实践科,附件2.参赛团队承诺与说明书.doc,885
实践科,附件3.校级赛计划书模板.docx,1117
实践科,附件4.校级赛比赛报名表.xlsx,907
教学运行,2301画法几何、工程制图E期末考12.10下午.xlsx,1011
教学运行,2301高数C(上）、D半期考12.10上午.xlsx,899
教学运行,2301高数A(上）、B（上）半期考12.10上午.xlsx,1031
教学运行,2301线性代数、线性代数与解析几何半期考12.9下午.xlsx,971
教学运行,2301高数A（下）期末考12.3下午.xlsx,901
教学运行,2023转专业细则.pdf,10753
教学运行,2301习概论随堂考.xlsx,1181
质量办,附件1：福州大学课堂教学质量评估表.doc,781
质量办,附件2：第10周课表.xlsx,883
教学运行,2301高数A（下）半期考10.22晚.xlsx,1134
教学运行,10.29晚大物B（下）半期考.xlsx,943
教学运行,10.28晚大物A（下）半期考.xlsx,910
实践科,2023年本科教学相关数据报送表格.zip,1008
教学运行,附件1：各学院分班拍照顺序.pdf,1645
教学运行,附件2：获得图像采集码途径.pdf,1586
质量办,附件1-4.rar,918
教学运行,10.21晚概率半期考.xlsx,1081
实践科,福州大学2022年省级及以上大学生创新创业训练计划项目结题成绩汇总表.xls,2706
实践科,福州大学2021年国家级、省级大学生创新创业训练计划项目结题成绩汇总表.xls,1575
实践科,福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls,2392
实践科,福州大学第二十八期本科生科研训练计划项目结题成绩汇总表.xls,4280
教学运行,福州大学本科生转专业管理实施办法（暂行）.docx,1214
教学运行,福州大学参军退伍复学后学生转专业审批表.doc,918
实践科,附件1：专家信息汇总表.xlsx,2604
质量办,附件1：福州大学课堂教学质量评估表.doc,1088
质量办,附件2：2023-2024学年第一学期第一周课表.xlsx,1189
质量办,附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,892
计划科,港澳台侨学生思政课和军事课程退选申请表.docx,1508
计划科,2023-2024学年第一学期国情课列表.docx,1653
计划科,超星尔雅使用手册（学生版）.pdf,3432
计划科,智慧树学生端操作手册.pdf,1729
计划科,慕课堂学生操作手册.pdf,4124
教研教改,附件1：福州大学2023级“嘉锡化学拔尖班”招生简章.doc,2336
教研教改,附件2：福州大学2023级“嘉锡化学拔尖班”选拔方案.doc,1893
教研教改,附件2：承诺书.doc,1201
教研教改,附件1：福州大学2023级“数理综合班”招生简章.doc,2683
教研教改,附件3：2023级数理金融实验班申请表.doc,1083
教研教改,附件4：承诺书.doc,1084
教研教改,附件1：福州大学2023级“数理金融实验班”招生简章.doc,2106
教研教改,附件2：福州大学2023级“数理金融实验班”选拔方案.doc,1849
实践科,闽工信联软件〔2023〕31号关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知.pdf,1086
实践科,附件1：福州大学校外实习教学基地一览表（2022年9月）.xlsx,7915
实践科,附件2：福州大学大学生校外实践教学基地检查评估表.xlsx,1267
实践科,附件3：福州大学大学生校外实践教学基地检查评估汇总表.xlsx,1199
实践科,附件：福州大学2023届优秀本科生毕业设计（论文）名单.doc,3695
实践科,附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程.pdf,6968
质量办,关于开展2023年度教师本科教学综合测评工作的通知.doc,1655
实践科,2023年国家级、省级大学生创新创业训练计划推荐项目汇总表.doc,5251
实践科,福州大学第29期本科生科研训练计划立项项目汇总表.doc,5608
教学运行,202202英语拓展课考试7.3上、下午.xls,983
教学运行,2202大学物理B 期末考7.6下午.xlsx,1155
教学运行,2202大学物理A、C 期末考7.6上午.xlsx,1079
实践科,附件3：2023年福州大学大学生工程实践与创新能力大赛命题与运行.pdf,3490
教研教改,附件1：福建省教育厅办公室关于开展2023年一流本科课程认定及推荐工作的通（闽教办高〔2023〕2号）.pdf,1489
教研教改,附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc,1232
教研教改,附件4：2023年省级一流本科课程申报说明.docx,1336
教研教改,附件7：虚拟仿真实验教学一流课程简介视频及教学引导视频技术要求.pdf,1923
教研教改,附件5：2023年福建省一流本科课程申报书.rar,1277
教研教改,附件6：国家虚拟仿真实验教学课程技术接口规范（2020版）.pdf,2033
教研教改,附件3：教育部办公厅关于开展第二批国家级一流本科课程认定工作的通知（教高厅函〔2021〕13号）.doc,1217
教学运行,2202英语二、四期末考试6.18下午.xlsx,1251
教学运行,2202英语三期末考试6.18上午.xlsx,1127
教学运行,2202 工程制图 期末考试安排 6.18下午.xlsx,793
教学运行,2202概率期末考6.11下午.xlsx,1049
实践科,福州大学本科生创新创业实践与素质拓展学分申报汇总表.doc,3870
教学运行,2202 思想道德与法治 随堂考安排.xlsx,1107
教学运行,2202 毛泽东思想概论 随堂考安排.xlsx,1177
教学运行,2202 马克思主义基本原理 随堂考安排.xlsx,1588
教学运行,2202高等数学A(中）、C（下）期末考试安排 6.11上午第二场.xlsx,1193
教学运行,2202高等数学B（下）期末考试安排 6.11上午第一场.xlsx,1085
教学运行,2202线性代数期末考试6.4下午.xlsx,1245
