附件名,附件链接,下载次数,通知部门
10.21晚概率半期考.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13142824,798,教学运行
附件2：福州大学2024级“数智实验班”选拔方案.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903337,1334,教研教改
附件1：福州大学2024级“数智实验班”招生简章.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903339,1994,教研教改
附件3：承诺书.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903338,479,教研教改
附件1：福州大学2024级“数理综合班”招生简章.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903271,1682,教研教改
附件2：承诺书.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903272,413,教研教改
附件2：福州大学2024级“数理金融实验班”选拔方案.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903267,1041,教研教改
附件1：福州大学2024级“数理金融实验班“招生简章.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903268,1086,教研教改
附件4：承诺书.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903270,272,教研教改
附件3：2024级数理金融实验班申请表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903269,321,教研教改
附件2：案例撰写格式.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613251,289,教研教改
附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613252,329,教研教改
附件4：案例汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613254,298,教研教改
附件3：案例申报表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613253,254,教研教改
附件1：福州大学第八届远志创业实验班招生简章.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014,941,教研教改
附件2：远志创业实验班修读申请表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612015,393,教研教改
第二批福建省新工科教育联盟新工科教育优秀教学案例征集、实践平台共建共享工作附件3——附件6.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183994,479,教研教改
福建省新工科教育联盟关于开展第二批新工科教育优秀教学案例征集、实践平台共建共享工作的通知（含章）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183995,645,教研教改
福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知20231127.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183975,546,教研教改
福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知（含章）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183976,710,教研教改
附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176112,552,教研教改
附件1：教育部办公厅关于开展第三批国家级 一流本科课程认定工作的通知（教高厅函〔2023〕24 号）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176113,418,教研教改
附件3：第三批国家级一流本科课程申报说明.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176114,1462,教研教改
附件4：社会实践课程申报书（第三批）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176115,425,教研教改
附件4：课程数据信息表（线上课程申报书附件）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176116,538,教研教改
附件4：线上课程申报书（第三批）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176117,562,教研教改
附件4：线下课程申报书（第三批）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176118,491,教研教改
附件4：虚拟仿真实验教学课程申报书（第三批）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176119,576,教研教改
附件4；线上线下混合式课程申报书（第三批）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13176120,544,教研教改
附件1：福州大学2023级“嘉锡化学拔尖班”招生简章.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049235,1931,教研教改
附件2：福州大学2023级“嘉锡化学拔尖班”选拔方案.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049236,1557,教研教改
附件2：承诺书.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049232,869,教研教改
附件1：福州大学2023级“数理综合班”招生简章.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049231,2221,教研教改
附件3：2023级数理金融实验班申请表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049229,765,教研教改
附件4：承诺书.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049230,690,教研教改
附件1：福州大学2023级“数理金融实验班”招生简章.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049228,1547,教研教改
附件2：福州大学2023级“数理金融实验班”选拔方案.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049227,1407,教研教改
附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997759,731,教研教改
附件4：2023年省级一流本科课程申报说明.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997762,786,教研教改
附件7：虚拟仿真实验教学一流课程简介视频及教学引导视频技术要求.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997765,1106,教研教改
附件5：2023年福建省一流本科课程申报书.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997764,752,教研教改
附件6：国家虚拟仿真实验教学课程技术接口规范（2020版）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997763,966,教研教改
附件3：教育部办公厅关于开展第二批国家级一流本科课程认定工作的通知（教高厅函〔2021〕13号）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997761,727,教研教改
附件1：福建省教育厅办公室关于开展2023年一流本科课程认定及推荐工作的通（闽教办高〔2023〕2号）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997760,806,教研教改
附件1：福州大学第七届远志创业实验班招生简章.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12990686,1078,教研教改
附件2：远志创业实验班修读申请表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12990685,801,教研教改
附件1：福州大学本科教学优秀奖评选办法.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219565,1094,教研教改
附件2：福州大学2022-2023学年教学优秀奖申报简表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219566,943,教研教改
附件4：各教学单位2022-2023学年教学优秀奖二等奖和三等奖名额分配表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219568,1248,教研教改
附件3：福州大学2022-2023学年教学优秀奖申报汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219567,959,教研教改
福建省新工科教育联盟关于开展新工科教育专家库建设-优秀教学案例征集-实践平台共建共享工作的通知.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11413860,1058,教研教改
